Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Primary language,English speaking monolingual,Were you raised monolingual?,Bilingual,Language related disorders,Place of most time spent before turning 18,Earliest language in life,Hearing difficulties,International students,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68394f663a86d8f441f13b49,62cd43d66c2dd7ae9ab53ae7,RETURNED,Not Applicable,2025-05-30T06:35:42.636000Z,,,2025-05-30T06:55:27.239136Z,,,6038,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68394f6864170178fd69d5a9,5dec8925be656d35d4005320,RETURNED,Not Applicable,2025-05-30T06:25:44.651000Z,,,2025-05-30T06:55:27.239745Z,,,6374,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68394f6e4eb78fb04bc351f3,5f5e32a0d6a12c6857b8e127,APPROVED,Not Applicable,2025-05-30T06:25:53.984000Z,2025-05-30T06:36:25.929000Z,2025-05-31T06:21:23.674000Z,2025-05-30T06:36:26.405378Z,632.0,C17CXQRX,9557,English,English,I only know English,I was raised with my native language only,none just my native langauge,none,United States,English,No,No,29,Male,White,United States,United States,United States,English,Yes,Full-Time
68394f711b18b9c5f3d8209f,67221c4369ba09d32e88904c,APPROVED,Not Applicable,2025-05-30T06:25:53.043000Z,2025-05-30T06:44:13.472000Z,2025-05-31T06:21:10.063000Z,2025-05-30T06:44:13.930136Z,1101.0,C17CXQRX,758,English,English,I only know English,I was raised with my native language only,none just my native langauge,none,United States,English,No,No,59,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
68394f7165da7dac7f27a4a4,67f052147bb0231d3bddc9df,APPROVED,Not Applicable,2025-05-30T06:26:39.796000Z,2025-05-30T06:37:39.250000Z,2025-05-31T06:21:23.903000Z,2025-05-30T06:37:39.753053Z,660.0,C17CXQRX,687,English,English,I only know English,I was raised with my native language only,none just my native langauge,none,United States,English,No,No,59,Male,White,United States,United States,United States,English,No,Part-Time
68394f74abdd5c737913ecde,66601952a37b486024e7ef49,APPROVED,Not Applicable,2025-05-30T06:26:02.209000Z,2025-05-30T06:36:07.662000Z,2025-05-31T06:21:24.133000Z,2025-05-30T06:36:08.165036Z,606.0,C17CXQRX,491,English,English,I only know English,I was raised with my native language only,none just my native langauge,none,United States,English,No,No,31,Female,White,United States,United States,United States,English,Yes,Full-Time
68394f763845fbef64118474,67d5eb0b8ec16cc847b4593a,APPROVED,Not Applicable,2025-05-30T06:26:26.325000Z,2025-05-30T06:40:10.925000Z,2025-05-31T06:21:24.337000Z,2025-05-30T06:40:11.440138Z,825.0,C17CXQRX,863,English,English,I only know English,I was raised with my native language only,none just my native langauge,none,United States,English,No,No,34,Female,White,United States,United States,United States,English,No,Full-Time
68394f773899ce1b8b4d4bfc,683666e57971ab1ebb826601,APPROVED,Not Applicable,2025-05-30T06:27:44.282000Z,2025-05-30T06:44:05.281000Z,2025-05-31T06:21:24.556000Z,2025-05-30T06:44:05.907736Z,981.0,C17CXQRX,1,English,English,I only know English,I was raised with my native language only,none just my native langauge,none,United States,English,No,No,37,Female,White,United States,United States,United States,English,No,Full-Time
68394f783845fbef64118476,68378ae158654a68e5b29f74,APPROVED,Not Applicable,2025-05-30T06:26:47.902000Z,2025-05-30T06:41:18.330000Z,2025-05-31T06:21:24.765000Z,2025-05-30T06:41:18.821176Z,871.0,C17CXQRX,16,English,English,I only know English,I was raised with my native language only,none just my native langauge,none,United States,English,No,No,41,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
68394f7a702c76a08ccf9520,682c856fbf6ad86ec8cacabf,APPROVED,Not Applicable,2025-05-30T06:26:48.012000Z,2025-05-30T06:40:44.253000Z,2025-05-31T06:21:24.988000Z,2025-05-30T06:40:44.746964Z,837.0,C17CXQRX,146,English,English,I only know English,I was raised with my native language only,none just my native langauge,none,United States,English,No,No,27,Female,Black,United States,United States,United States,English,Yes,Full-Time
